last_name, first_name,player_id,year,xwobacon,oz_swing_percent,whiff_percent,swing_percent,class2
Turner, Trea,607208,2023,0.68,37.5,30.3,53.4,B
Rutschman, Adley,668939,2023,0.6,22,15.5,38.9,E
Turner, Justin,457759,2023,0.535,24.1,18.3,45.1,D
India, Jonathan,663697,2023,0.531,19.7,20.5,39.3,B
Dalbec, Bobby,666915,2023,0.528,19.5,56,36.8,B
Stott, Bryson,681082,2023,0.524,29.7,14.9,45.6,D
Hernandez, Yonny,660634,2023,0.523,10.3,37.5,32.7,B
Phillips, Brett,621433,2023,0.523,16.7,63,38,B
Locastro, Tim,641796,2023,0.523,40.9,13.6,55,D
Horwitz, Spencer,687462,2023,0.521,15.4,26.7,32.6,B
Adrianza, Ehire,501303,2023,0.519,28.6,16.7,45.3,D
France, Ty,664034,2023,0.518,35.1,22.1,54.1,C
Soto, Livan,670869,2023,0.514,10.3,16,39.7,E
Stevenson, Cal,670276,2023,0.51,14.3,16.7,30.5,E
White, Eli,642201,2023,0.51,14.3,40,42.3,B
Williams, Luke,663897,2023,0.507,35,40,54.1,B
Huff, Sam,669087,2023,0.507,35.7,52.9,59.6,B
Tucker, Kyle,663656,2023,0.506,22.8,17.1,48.9,E
Beaty, Matt,607461,2023,0.502,35,15,52.6,D
Allen, Greg,656185,2023,0.502,19.2,36.7,47.6,B
Kessinger, Grae,666197,2023,0.502,14.3,22.2,34,B
Verdugo, Alex,657077,2023,0.501,22.7,14.2,39.8,E
Torres, Gleyber,650402,2023,0.501,25.9,21.5,46.5,B
McNeil, Jeff,643446,2023,0.496,27.5,15.2,51.1,D
Tromp, Chadwick,644433,2023,0.494,42.9,28.6,56.5,C
Perez, Roberto,547379,2023,0.49,26.8,29.4,44.2,B
Moore, Dylan,664238,2023,0.489,36.8,41.4,50.4,B
Bemboom, Anthony,621532,2023,0.489,21.1,11.8,40.5,E
Guerrero Jr., Vladimir,665489,2023,0.486,30.1,23.1,51.4,B
Ruiz, Esteury,665923,2023,0.485,34.6,25.1,52.3,C
Madris, Bligh,676632,2023,0.485,28.6,23.5,51.5,B
Alu, Jake,666906,2023,0.484,47.8,36.4,53.7,B
Baker, Luken,663609,2023,0.479,45.2,33.3,56,B
Kreidler, Ryan,668952,2023,0.478,40,41.7,50,B
Garcia, Luis,671277,2023,0.474,29.5,16.3,51,D
Rios, Edwin,621458,2023,0.471,31.6,38.9,47.1,B
Torrens, Luis,620443,2023,0.47,39,31.1,47.4,B
Salazar, Cesar,663967,2023,0.469,30.2,27.7,57.3,B
Motter, Taylor,600301,2023,0.469,17,32.7,48.5,B
Springer III, George,543807,2023,0.468,22,20.6,48,B
Ellis, Drew,656403,2023,0.468,15.9,23.1,41.1,B
Owings, Chris,572008,2023,0.466,44.4,35.1,60,B
Rocchio, Brayan,677587,2023,0.465,47.1,22.7,56.4,C
Serven, Brian,661531,2023,0.464,44.1,43.9,53.2,B
Young, Jared,676724,2023,0.464,31.3,27,50.7,B
Triolo, Jared,669707,2023,0.464,26.3,31,42.9,B
Lukes, Nathan,664770,2023,0.463,33.3,25,56.4,C
Hamilton, David,666152,2023,0.459,23.4,25,43.2,B
Witt Jr., Bobby,677951,2023,0.459,31.1,25.6,51.9,B
Hummel, Cooper,669450,2023,0.457,25,34,45.7,B
Toglia, Michael,669911,2023,0.457,36.8,42.9,51,B
Wallner, Matt,670242,2023,0.457,22.6,29.4,48.1,B
Lewis, Kyle,641786,2023,0.456,20.7,37.7,45.3,B
Burdick, Peyton,680814,2023,0.456,31.6,46.3,53.3,B
Lester, Josh,623507,2023,0.456,34.1,30.4,50,B
Campusano, Luis,669134,2023,0.455,41.7,28.3,60.5,C
La Stella, Tommy,600303,2023,0.455,28.3,25,38.5,B
Freeman, Freddie,518692,2023,0.455,25.3,22,49.2,B
Westburg, Jordan,676059,2023,0.455,32.4,24.4,53.2,C
Garlick, Kyle,664247,2023,0.454,27.9,38.3,39.2,B
Smith-Njigba, Canaan,675986,2023,0.454,26.6,36.6,44.7,B
Guthrie, Dalton,656495,2023,0.453,35.5,31.6,50.4,B
Choi, Ji Man,596847,2023,0.453,29.9,29.2,53.3,B
