last_name, first_name,player_id,year,xwobacon,oz_swing_percent,whiff_percent,swing_percent,class1,class2
Judge, Aaron,592450,2017,0.641,22.8,34.9,41.1,4,B
Gallo, Joey,608336,2019,0.638,20.5,41.6,40.8,4,B
Judge, Aaron,592450,2022,0.611,22.9,29.8,42.7,4,B
Voit III, Luke,572228,2018,0.58,24.7,33.2,48.7,8,B
Stanton, Giancarlo,519317,2015,0.578,29.5,36.2,44.3,12,B
Martinez, J.D.,502110,2017,0.575,27.3,31.2,51.4,8,B
Sano, Miguel,593934,2015,0.573,23.7,41.1,40.1,4,B
Trout, Mike,545361,2021,0.571,17.6,27.5,39.3,3,B
Gallo, Joey,608336,2017,0.57,28.3,43.4,47.1,12,B
Ohtani, Shohei,660271,2021,0.566,27.3,35,45.8,8,B
Davis, Chris,448801,2015,0.566,28.7,35.6,47.3,12,B
Sano, Miguel,593934,2020,0.564,28,42.6,47.3,8,B
Hernandez, Teoscar,606192,2020,0.564,30.9,34.9,46.4,12,B
Gallo, Joey,608336,2015,0.56,27.4,50,48,8,B
Acuna Jr., Ronald,660670,2020,0.559,20,29.9,40.5,4,B
Avila, Alex,488671,2017,0.558,12.3,36.4,36.8,4,B
Judge, Aaron,592450,2019,0.558,22.7,36.7,42,4,B
Gallo, Joey,608336,2018,0.553,29.5,40.7,48.6,12,B
O'Neill, Tyler,641933,2021,0.55,27.6,34.7,49.8,8,B
Alvarez, Yordan,670541,2022,0.548,24.8,23.4,42.7,6,B
Thompson, Trayce,572204,2022,0.547,23.3,37.8,43.9,4,B
Sano, Miguel,593934,2019,0.547,26.1,38.1,43.6,8,B
Tatis Jr., Fernando,665487,2021,0.546,29,34.8,51.5,12,B
Trout, Mike,545361,2019,0.543,17.9,19.2,36.8,1,E
Cordero, Franchy,614173,2018,0.543,28,35.1,47.9,8,B
Rasmus, Colby,458675,2017,0.539,35.2,38.5,54.8,16,B
Ozuna, Marcell,542303,2020,0.536,28.2,31.4,46.3,12,B
Wright, David,431151,2016,0.535,17.3,36.5,38.2,4,B
Cruz Jr., Nelson,443558,2019,0.535,27.3,32.6,46.2,8,B
