last_name, first_name,player_id,year,wobacon,oz_swing_percent,whiff_percent,swing_percent,f_strike_percent,class
Hunter, Torii,116338,2015,0.343,34.1,23.1,53.4,64,F
Ortiz, David,120074,2015,0.418,26.5,23.2,44.7,52.1,A
Rodriguez, Alex,121347,2015,0.425,24.3,32,43.9,60.3,C
Ramirez, Aramis,133380,2015,0.329,34.4,17.9,52.9,65.5,F
Beltre, Adrian,134181,2015,0.352,35.4,16.8,48.1,61.9,F
Beltran, Carlos,136860,2015,0.382,28.9,18.1,45.4,57.3,E
Werth, Jayson,150029,2015,0.337,23.4,24.2,37.9,57.7,B
Cuddyer, Michael,150212,2015,0.362,35.1,24.4,51.4,60.5,F
Pierzynski, A.J.,150229,2015,0.343,39.1,14.2,54.8,56.2,F
Rollins, Jimmy,276519,2015,0.298,24.8,18.1,45,56.5,B
Hamilton, Josh,285078,2015,0.42,38.3,36.2,52.8,61.5,G
Uribe, Juan,346874,2015,0.367,29.9,23.8,51.6,59.2,F
Suzuki, Ichiro,400085,2015,0.249,25.1,10,43.4,58.4,B
Martinez, Victor,400121,2015,0.293,31.4,13.7,47.5,57.9,F
Utley, Chase,400284,2015,0.279,24.9,14.5,40.8,58.9,B
Pujols, Albert,405395,2015,0.347,29.3,16.3,45.4,56,F
Byrd, Marlon,407781,2015,0.411,41.9,31.2,60.2,70.4,G
Holliday, Matt,407812,2015,0.371,26.1,22.5,48.6,59.2,A
Teixeira, Mark,407893,2015,0.426,22.4,22.4,42.8,60.4,A
Mauer, Joe,408045,2015,0.339,25.5,16.8,40.7,57.2,B
Morneau, Justin,408047,2015,0.386,33.5,19.9,52.1,58.8,E
Cabrera, Miguel,408234,2015,0.459,27.3,23.1,44.9,57.5,A
Gonzalez, Adrian,408236,2015,0.394,32.3,21.6,49.7,54.5,E
Phillips, Brandon,408252,2015,0.335,35.4,18.9,54.2,62.3,F
Infante, Omar,408299,2015,0.271,34.2,19.8,47.7,62.2,F
Crawford, Carl,408307,2015,0.37,36.1,24.5,51.8,66.7,E
Reyes, Jose,408314,2015,0.321,35.6,16.1,50.3,61.1,F
Ross, David,424325,2015,0.295,26.6,36,48.9,55.5,D
